subject_slug,grade_slug,order,title,description
algebra,5-klass,1,Натуральные числа и разрядные единицы,Читать записывать и сравнивать многозначные натуральные числа
algebra,5-klass,2,Сложение и вычитание натуральных чисел,Складывать и вычитать многозначные числа в столбик с переходом через разряд
algebra,5-klass,3,Умножение и деление натуральных чисел,Умножать и делить многозначные числа в столбик
algebra,5-klass,4,Обыкновенные дроби: понятие и сравнение,Понимать смысл дроби и сравнивать дроби с одинаковым знаменателем
algebra,5-klass,5,Сложение и вычитание дробей с одинаковыми знаменателями,Складывать и вычитать дроби с одинаковым знаменателем
algebra,5-klass,6,Десятичные дроби: чтение и запись,Читать записывать и сравнивать десятичные дроби
algebra,5-klass,7,Сложение и вычитание десятичных дробей,Выполнять сложение и вычитание десятичных дробей столбиком
algebra,5-klass,8,Умножение и деление десятичных дробей на натуральное число,Умножать и делить десятичную дробь на натуральное число
algebra,5-klass,9,Проценты: понятие и нахождение процента от числа,Находить процент от числа в простых практических задачах
algebra,5-klass,10,Площадь и периметр прямоугольника,Вычислять площадь и периметр прямоугольника по формулам
algebra,7-klass,1,Числовые и алгебраические выражения,Составлять и вычислять значения алгебраических выражений
algebra,7-klass,2,Уравнения с одной переменной,Решать линейные уравнения вида ax+b=c
algebra,7-klass,3,Степень с натуральным показателем,Применять свойства степеней при упрощении выражений
algebra,7-klass,4,Одночлены и действия над ними,Приводить одночлен к стандартному виду и умножать одночлены
algebra,7-klass,5,Многочлены: сложение и вычитание,Приводить подобные слагаемые многочлена
algebra,7-klass,6,Умножение многочлена на одночлен и многочлен на многочлен,Раскрывать скобки при умножении многочленов
algebra,7-klass,7,Формулы сокращённого умножения,Применять квадрат суммы разность квадратов и квадрат разности
algebra,7-klass,8,Разложение многочленов на множители,Выносить общий множитель за скобки и применять формулы сокращённого умножения
algebra,7-klass,9,Линейная функция и её график,Строить график функции y=kx+b и определять её свойства
algebra,7-klass,10,Системы двух линейных уравнений,Решать системы линейных уравнений способом подстановки и сложения
fizika,8-klass,1,Тепловое движение. Температура,Объяснять понятие теплового движения и температуры тела
fizika,8-klass,2,Внутренняя энергия и способы её изменения,Различать теплопередачу и работу как способы изменения внутренней энергии
fizika,8-klass,3,Виды теплопередачи: теплопроводность конвекция излучение,Приводить примеры каждого вида теплопередачи из жизни
fizika,8-klass,4,Количество теплоты. Удельная теплоёмкость,Вычислять количество теплоты по формуле Q=cmΔt
fizika,8-klass,5,Плавление и отвердевание,Объяснять процесс плавления и использовать удельную теплоту плавления
fizika,8-klass,6,Испарение и конденсация,Объяснять процессы испарения и конденсации и факторы влияющие на их скорость
fizika,8-klass,7,Электризация тел. Электрический заряд,Объяснять явление электризации и взаимодействие зарядов
fizika,8-klass,8,Электрический ток. Сила тока,Объяснять понятие электрического тока и вычислять силу тока
fizika,8-klass,9,Электрическое напряжение. Закон Ома для участка цепи,Применять закон Ома для расчёта простых электрических цепей
fizika,8-klass,10,Последовательное и параллельное соединение проводников,Рассчитывать силу тока напряжение и сопротивление в цепях
