region_name_ru,name_ru,name_uz_latin,name_uz_cyrillic,latitude,longitude
Республика Каракалпакстан,Нукус,Nukus,Нукус,42.4531,59.6103
Республика Каракалпакстан,Ходжейли,Xoʻjayli,Хўжайли,42.4131,59.4497
Андижанская область,Андижан,Andijon,Андижон,40.7821,72.3442
Андижанская область,Асака,Asaka,Асака,40.6383,72.2333
Бухарская область,Бухара,Buxoro,Бухоро,39.7747,64.4286
Бухарская область,Каган,Kogon,Когон,39.7256,64.5514
Джизакская область,Джизак,Jizzax,Жиззах,40.1158,67.8422
Кашкадарьинская область,Карши,Qarshi,Қарши,38.8606,65.7891
Кашкадарьинская область,Шахрисабз,Shahrisabz,Шаҳрисабз,39.0544,66.8342
Навоийская область,Навои,Navoiy,Навоий,40.0844,65.3792
Навоийская область,Зарафшан,Zarafshon,Зарафшон,41.5714,64.2011
Наманганская область,Наманган,Namangan,Наманган,40.9983,71.6726
Самаркандская область,Самарканд,Samarqand,Самарқанд,39.6270,66.9750
Сурхандарьинская область,Термез,Termiz,Термиз,37.2242,67.2783
Сырдарьинская область,Гулистан,Guliston,Гулистон,40.4897,68.7842
Ташкентская область,Нурафшан,Nurafshon,Нурафшон,41.0167,69.3417
Ташкентская область,Ангрен,Angren,Ангрен,41.0186,70.1439
Ташкентская область,Чирчик,Chirchiq,Чирчиқ,41.4689,69.5822
Ферганская область,Фергана,Fargʻona,Фарғона,40.3842,71.7843
Ферганская область,Коканд,Qoʻqon,Қўқон,40.5286,70.9425
Хорезмская область,Ургенч,Urganch,Урганч,41.5506,60.6317
Хорезмская область,Хива,Xiva,Хива,41.3783,60.3639
город Ташкент,Ташкент,Toshkent,Тошкент,41.2995,69.2401
