name_ru,name_uz_latin,name_uz_cyrillic
Токарный станок с ЧПУ,CPU boshqaruvli tokarlik stanogi,ЧПУ бошқарувли токарлик станоги
Токарный станок универсальный,Universal tokarlik stanogi,Универсал токарлик станоги
Фрезерный станок с ЧПУ,CPU boshqaruvli frezer stanogi,ЧПУ бошқарувли фрезер станоги
Фрезерный станок универсальный,Universal frezer stanogi,Универсал фрезер станоги
Лазерная резка металла,Metallni lazerda kesish uskunasi,Металлни лазерда кесиш ускунаси
Плазменная резка металла,Metallni plazmada kesish uskunasi,Металлни плазмада кесиш ускунаси
Гильотина / листогиб,Gilyotina / list egish stanogi,Гильотина / лист эгиш станоги
Сварочное оборудование (аргон/TIG),Payvandlash uskunasi (argon/TIG),Пайвандлаш ускунаси (аргон/TIG)
Сварочное оборудование (полуавтомат/MIG-MAG),Payvandlash uskunasi (yarim avtomat/MIG-MAG),Пайвандлаш ускунаси (ярим автомат/MIG-MAG)
Сварочное оборудование (дуговая/ММА),Payvandlash uskunasi (yoy/MMA),Пайвандлаш ускунаси (ёй/MMA)
Гидравлический пресс,Gidravlik press,Гидравлик пресс
Литейное оборудование,Quyish uskunasi,Қуйиш ускунаси
Шлифовальный станок,Sayqallash stanogi,Сайқаллаш станоги
Зубофрезерный станок,Tishli g'ildirak kesish stanogi,Тишли ғилдирак кесиш станоги
Электроэрозионный станок (ЭДМ),Elektroeroziya stanogi (EDM),Электроэрозия станоги (EDM)
