name_ru,name_uz_latin,name_uz_cyrillic,latitude,longitude
Республика Каракалпакстан,Qoraqalpogʻiston Respublikasi,Қорақалпоғистон Республикаси,42.4531,59.6103
Андижанская область,Andijon viloyati,Андижон вилояти,40.7821,72.3442
Бухарская область,Buxoro viloyati,Бухоро вилояти,39.7747,64.4286
Джизакская область,Jizzax viloyati,Жиззах вилояти,40.1158,67.8422
Кашкадарьинская область,Qashqadaryo viloyati,Қашқадарё вилояти,38.8606,65.7891
Навоийская область,Navoiy viloyati,Навоий вилояти,40.0844,65.3792
Наманганская область,Namangan viloyati,Наманган вилояти,40.9983,71.6726
Самаркандская область,Samarqand viloyati,Самарқанд вилояти,39.6270,66.9750
Сурхандарьинская область,Surxondaryo viloyati,Сурхондарё вилояти,37.2242,67.2783
Сырдарьинская область,Sirdaryo viloyati,Сирдарё вилояти,40.4897,68.7842
Ташкентская область,Toshkent viloyati,Тошкент вилояти,41.0167,69.3417
Ферганская область,Fargʻona viloyati,Фарғона вилояти,40.3842,71.7843
Хорезмская область,Xorazm viloyati,Хоразм вилояти,41.5506,60.6317
город Ташкент,Toshkent shahri,Тошкент шаҳри,41.2995,69.2401
