name_ru,name_uz_latin,name_uz_cyrillic
Токарные работы,Tokarlik ishlari,Токарлик ишлари
Фрезерные работы,Frezer ishlari,Фрезер ишлари
Лазерная резка металла,Metallni lazerda kesish,Металлни лазерда кесиш
Плазменная резка металла,Metallni plazmada kesish,Металлни плазмада кесиш
Гибка листового металла,List metallni egish,Лист металлни эгиш
Сварочные работы,Payvandlash ishlari,Пайвандлаш ишлари
Литьё металла,Metall quyish,Металл қуйиш
Шлифовка и полировка,Sayqallash va yaltiratish,Сайқаллаш ва ялтиратиш
Зубофрезерование / изготовление шестерён,Tishli g'ildiraklar tayyorlash,Тишли ғилдираклар тайёрлаш
Электроэрозионная обработка,Elektroeroziyaviy ishlov berish,Электроэрозиявий ишлов бериш
Ремонт редукторов,Reduktorlarni ta'mirlash,Редукторларни таъмирлаш
Ремонт насосов и компрессоров,Nasos va kompressorlarni ta'mirlash,Насос ва компрессорларни таъмирлаш
Ремонт гидравлики,Gidravlikani ta'mirlash,Гидравликани таъмирлаш
Изготовление металлоконструкций,Metall konstruksiyalar tayyorlash,Метал конструкциялар тайёрлаш
Проектирование и конструирование,Loyihalash va konstruksiyalash,Лойиҳалаш ва конструкциялаш
